date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:33	684/684	---MCZ	200	added ('OK')	text/plain	date:Mon,%2027%20Jan%202020%2022:48:07%20GMT	https://themes.getbootstrap.com/robots.txt		(from )
09:50:33	16594/16594	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2001:17:14%20GMT	https://themes.getbootstrap.com/preview/?theme_id=103332	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/preview/indexea11.html	(from )
09:50:34	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2003:20:33%20GMT	https://gmpg.org/xfn/11	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/gmpg.org/xfn/11.html	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:34	6373/6373	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/apple-touch-icon.png	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/apple-touch-icon.png	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:34	1195/1195	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-32x32.png	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-32x32.png	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:34	598/598	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-16x16.png	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-16x16.png	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:34	41467/41467	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2020:06:20%20GMT	https://themes.getbootstrap.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-includes/css/dist/block-library/style.minde54.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:35	30440/30440	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2022:48:09%20GMT	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:35	0/0	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2001:18:50%20GMT	https://themes.getbootstrap.com/preview/	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/preview/index.html	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:35	16542/16542	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2022:48:08%20GMT	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.1	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:35	6758/6758	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2022:48:08%20GMT	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.1	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	62669/62669	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2022:48:08%20GMT	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.1	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jul%202024%2003:20:35%20GMT	http://s.w.org/	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/s.w.org/index.html	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	31047/31047	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2022:48:08%20GMT	https://themes.getbootstrap.com/wp-content/plugins/dokan-lite/assets/vendors/font-awesome/font-awesome.min.css?ver=2.9.27	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/plugins/dokan-lite/assets/vendors/font-awesome/font-awesome.min3b90.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	23314/23314	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/dokan/assets/css/skins/purple.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/dokan/assets/css/skins/purple.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	96873/96873	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Jan%202023%2020:06:20%20GMT	https://themes.getbootstrap.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-includes/js/jquery/jquery4a5f.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:36	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Jan%202023%2020:06:20%20GMT	https://themes.getbootstrap.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:37	419559/419559	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20May%202020%2020:33:24%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style94c8.css	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:37	213390/213390	---MC-	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2003:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-67613229-3	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/www.googletagmanager.com/gtag/jsfa6d	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:37	150283/150283	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:38	201572/201572	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.bundle.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.bundle.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:38	24989/24989	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/tether.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/tether.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:38	19196/19196	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/popper.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/popper.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:39	51143/51143	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2015:26:55%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/bootstrap.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/bootstrap.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:39	7235/7235	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2027%20Jan%202020%2022:48:09%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/lazysizes.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/lazysizes.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:39	155527/155527	---M-Z	200	added ('OK')	text/html	etag:%2225f87-664da921-4d94af063271e319;gz%22	https://eduport.webestica.com/	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/index.html	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:39	2359/2359	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2004%20Dec%202022%2017:04:36%20GMT	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/scripts.js?ver=1670173476	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/scriptsee95.js	(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:40	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://themes.getbootstrap.com/preview/?theme_id=103332)
09:50:40	2067/2067	---M--	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680%22	https://gmpg.org/xfn/default.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
09:50:41	4170/4170	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2003:20:39%20GMT	https://gmpg.org/xfn/.	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
09:50:42	16269/16269	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2003:20:40%20GMT	https://gmpg.org/xfn/intro	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
